formalname,longitude,latitude,name,fips
Ada County,-116.24203,43.47877,Ada,16001
Adams County,-116.49161,44.98826,Adams,16003
Bannock County,-112.14302,42.58364,Bannock,16005
Bear Lake County,-111.2845,42.22822,Bear Lake,16007
Benewah County,-116.64994,47.24378,Benewah,16009
Bingham County,-112.36241,43.21123,Bingham,16011
Blaine County,-113.96644,43.47434,Blaine,16013
Boise County,-115.85631,43.96048,Boise,16015
Bonner County,-116.59315,48.27518,Bonner,16017
Bonneville County,-111.54553,43.45087,Bonneville,16019
Boundary County,-116.56271,48.79876,Boundary,16021
Butte County,-113.18414,43.64482,Butte,16023
Camas County,-114.82437,43.50937,Camas,16025
Canyon County,-116.68654,43.67796,Canyon,16027
Caribou County,-111.66607,42.75387,Caribou,16029
Cassia County,-113.57285,42.35804,Cassia,16031
Clark County,-112.37555,44.19756,Clark,16033
Clearwater County,-115.56204,46.67757,Clearwater,16035
Custer County,-114.26143,44.33319,Custer,16037
Elmore County,-115.52645,43.11543,Elmore,16039
Franklin County,-111.76147,42.21003,Franklin,16041
Fremont County,-111.479,44.22427,Fremont,16043
Gem County,-116.35892,44.03249,Gem,16045
Gooding County,-114.74943,42.91806,Gooding,16047
Idaho County,-115.72374,45.90195,Idaho,16049
Jefferson County,-112.24937,43.76409,Jefferson,16051
Jerome County,-114.32879,42.71282,Jerome,16053
Kootenai County,-116.62221,47.75684,Kootenai,16055
Latah County,-116.67642,46.73604,Latah,16057
Lemhi County,-113.92306,45.03646,Lemhi,16059
Lewis County,-116.40541,46.26648,Lewis,16061
Lincoln County,-114.16944,43.04964,Lincoln,16063
Madison County,-111.55837,43.75083,Madison,16065
Minidoka County,-113.58081,42.841,Minidoka,16067
Nez Perce County,-116.62288,46.41818,Nez Perce,16069
Oneida County,-112.52451,42.20598,Oneida,16071
Owyhee County,-116.06229,42.68274,Owyhee,16073
Payette County,-116.72054,44.02052,Payette,16075
Power County,-112.76845,42.75285,Power,16077
Shoshone County,-115.91047,47.17469,Shoshone,16079
Teton County,-111.19176,43.78458,Teton,16081
Twin Falls County,-114.67589,42.33525,Twin Falls,16083
Valley County,-115.79264,44.92047,Valley,16085
Washington County,-116.75486,44.36587,Washington,16087
