year,month,area,adjusted,laborforce,employment,unemployment,unemploymentrate,preliminary,fips,longitude,latitude,id
2011,April,Ada County,Yes,196517,178734,17783,9,No,16001,-116.24203,43.47877,2011-April-Ada County
2011,April,Ada County,No,195705,178584,17121,8.7,No,16001,-116.24203,43.47877,2011-April-Ada County
2011,April,Adams County,No,2028,1617,411,20.2,No,16003,-116.49161,44.98826,2011-April-Adams County
2011,April,Adams County,Yes,1992,1690,302,15.1,No,16003,-116.49161,44.98826,2011-April-Adams County
2011,April,Bannock County,No,40274,36726,3548,8.8,No,16005,-112.14302,42.58364,2011-April-Bannock County
2011,April,Bannock County,Yes,40119,36569,3550,8.8,No,16005,-112.14302,42.58364,2011-April-Bannock County
2011,April,Bear Lake County,No,3257,3041,216,6.6,No,16007,-111.2845,42.22822,2011-April-Bear Lake County
2011,April,Bear Lake County,Yes,3307,3097,210,6.3,No,16007,-111.2845,42.22822,2011-April-Bear Lake County
2011,April,Benewah County,No,4385,3539,846,19.2,No,16009,-116.64994,47.24378,2011-April-Benewah County
2011,April,Benewah County,Yes,4251,3672,579,13.6,No,16009,-116.64994,47.24378,2011-April-Benewah County
2011,April,Bingham County,Yes,23296,21514,1782,7.6,No,16011,-112.36241,43.21123,2011-April-Bingham County
2011,April,Bingham County,No,23322,21581,1741,7.4,No,16011,-112.36241,43.21123,2011-April-Bingham County
2011,April,Blaine County,No,12326,10998,1328,10.7,No,16013,-113.96644,43.47434,2011-April-Blaine County
2011,April,Blaine County,Yes,12739,11510,1228,9.6,No,16013,-113.96644,43.47434,2011-April-Blaine County
2011,April,Boise City,Yes,108558,99084,9473,8.7,No,,,,2011-April-Boise City
2011,April,Boise City,No,108250,98928,9322,8.6,No,,,,2011-April-Boise City
2011,April,Boise County,No,3461,3074,387,11.1,No,16015,-115.85631,43.96048,2011-April-Boise County
2011,April,Boise County,Yes,3414,3087,326,9.5,No,16015,-115.85631,43.96048,2011-April-Boise County
2011,April,Bonner County,No,19484,16500,2984,15.3,No,16017,-116.59315,48.27518,2011-April-Bonner County
2011,April,Bonner County,Yes,19702,17105,2596,13.1,No,16017,-116.59315,48.27518,2011-April-Bonner County
2011,April,Bonneville County,No,50700,46845,3855,7.6,No,16019,-111.54553,43.45087,2011-April-Bonneville County
2011,April,Bonneville County,Yes,51104,47192,3911,7.6,No,16019,-111.54553,43.45087,2011-April-Bonneville County
2011,April,Boundary County,No,5039,4245,794,15.7,No,16021,-116.56271,48.79876,2011-April-Boundary County
2011,April,Boundary County,Yes,4972,4232,739,14.8,No,16021,-116.56271,48.79876,2011-April-Boundary County
2011,April,Butte County,No,1491,1380,111,7.4,No,16023,-113.18414,43.64482,2011-April-Butte County
2011,April,Butte County,Yes,1492,1387,104,6.9,No,16023,-113.18414,43.64482,2011-April-Butte County
2011,April,Caldwell,Yes,19390,17003,2386,12.3,No,,,,2011-April-Caldwell
2011,April,Caldwell,No,19331,16999,2332,12,No,,,,2011-April-Caldwell
2011,April,Camas County,No,569,481,88,15.4,No,16025,-114.82437,43.50937,2011-April-Camas County
2011,April,Camas County,Yes,577,503,73,12.7,No,16025,-114.82437,43.50937,2011-April-Camas County
2011,April,Canyon County,Yes,85413,75562,9851,11.5,No,16027,-116.68654,43.67796,2011-April-Canyon County
2011,April,Canyon County,No,84975,75513,9462,11.1,No,16027,-116.68654,43.67796,2011-April-Canyon County
2011,April,Caribou County,Yes,3898,3543,354,9,No,16029,-111.66607,42.75387,2011-April-Caribou County
2011,April,Caribou County,No,3868,3528,340,8.7,No,16029,-111.66607,42.75387,2011-April-Caribou County
2011,April,Cassia County,No,11285,10416,869,7.7,No,16031,-113.57285,42.35804,2011-April-Cassia County
2011,April,Cassia County,Yes,11365,10518,847,7.4,No,16031,-113.57285,42.35804,2011-April-Cassia County
2011,April,Clark County,No,562,508,54,9.6,No,16033,-112.37555,44.19756,2011-April-Clark County
2011,April,Clark County,Yes,576,521,55,9.6,No,16033,-112.37555,44.19756,2011-April-Clark County
2011,April,Clearwater County,No,3330,2653,677,20.3,No,16035,-115.56204,46.67757,2011-April-Clearwater County
2011,April,Clearwater County,Yes,3217,2725,491,15.2,No,16035,-115.56204,46.67757,2011-April-Clearwater County
2011,April,Custer County,No,2326,2130,196,8.4,No,16037,-114.26143,44.33319,2011-April-Custer County
2011,April,Custer County,Yes,2426,2241,185,7.6,No,16037,-114.26143,44.33319,2011-April-Custer County
2011,April,Elmore County,Yes,11581,10402,1178,10.1,No,16039,-115.52645,43.11543,2011-April-Elmore County
2011,April,Elmore County,No,11502,10409,1093,9.5,No,16039,-115.52645,43.11543,2011-April-Elmore County
2011,April,Franklin County,Yes,6144,5743,400,6.5,No,16041,-111.76147,42.21003,2011-April-Franklin County
2011,April,Franklin County,No,6083,5701,382,6.2,No,16041,-111.76147,42.21003,2011-April-Franklin County
2011,April,Fremont County,No,5904,5292,612,10.3,No,16043,-111.479,44.22427,2011-April-Fremont County
