year,month,areaname,adjusted,laborforce,employment,unemployment,unemploymentrate,preliminary
2005,January,United States,No,147125000,138682000,8444000,5.7,No
2005,January,United States,Yes,148029000,140245000,7784000,5.3,No
2006,January,United States,No,149090000,141481000,7608000,5.1,No
2006,January,United States,Yes,150214000,143150000,7064000,4.7,No
2007,January,United States,No,151924000,144275000,7649000,5,No
2007,January,United States,Yes,153133000,146033000,7100000,4.6,No
2008,January,United States,No,152828000,144607000,8221000,5.4,No
2008,January,United States,Yes,154060000,146407000,7653000,5,No
2009,January,United States,No,153445000,140436000,13009000,8.5,No
2009,January,United States,Yes,154185000,142201000,11984000,7.8,No
2010,January,United States,No,152957000,136809000,16147000,10.6,No
2010,January,United States,Yes,153454000,138500000,14953000,9.7,No
2011,January,United States,No,152536000,137599000,14937000,9.8,No
2011,January,United States,Yes,153250000,139330000,13919000,9.1,No
2005,January,Idaho,No,706062,669640,36422,5.2,No
2005,January,Idaho,Yes,712490,683419,29071,4.1,No
2006,January,Idaho,No,726878,695756,31122,4.3,No
2006,January,Idaho,Yes,733956,710008,23948,3.3,No
2007,January,Idaho,No,743421,715197,28224,3.8,No
2007,January,Idaho,Yes,749906,729949,19957,2.7,No
2008,January,Idaho,No,751173,716915,34258,4.6,No
2008,January,Idaho,Yes,756982,730721,26261,3.5,No
2009,January,Idaho,No,748515,690748,57767,7.7,No
2009,January,Idaho,Yes,754573,705907,48666,6.4,No
2010,January,Idaho,No,752288,678633,73655,9.7,No
2010,January,Idaho,Yes,757514,693123,64391,8.5,No
2010,January,Idaho,Yes,763498,696514,66983,8.7,No
2011,January,Idaho,No,761227,684710,76517,10,No
2011,January,Idaho,Yes,767270,699496,67774,8.8,No
2005,January,Ada County,No,180608,173599,7009,3.8,No
2005,January,Ada County,Yes,181182,175027,6155,3.3,No
2006,January,Ada County,No,187712,182037,5675,3,No
2006,January,Ada County,Yes,188321,183526,4794,2.5,No
2007,January,Ada County,No,196236,190886,5350,2.7,No
2007,January,Ada County,Yes,196519,192391,4127,2.1,No
2008,January,Ada County,No,197295,189671,7624,3.8,No
2008,January,Ada County,Yes,197203,190846,6356,3.2,No
2009,January,Ada County,No,196421,182485,13936,7,No
2009,January,Ada County,Yes,196768,184067,12701,6.4,No
2010,January,Ada County,No,195176,177866,17310,8.8,No
2010,January,Ada County,Yes,195585,179261,16324,8.3,No
2010,January,Ada County,Yes,197469,180952,16517,8.3,No
2011,January,Ada County,No,198301,180672,17629,8.8,No
2011,January,Ada County,Yes,197080,181759,15320,7.7,No
2005,January,Adams County,No,1730,1538,192,11,No
2005,January,Adams County,Yes,1827,1674,152,8.3,No
2006,January,Adams County,No,2116,1946,170,8,No
2006,January,Adams County,Yes,2209,2077,132,5.9,No
2007,January,Adams County,No,2056,1918,138,6.7,No
2007,January,Adams County,Yes,2109,2009,99,4.7,No
2008,January,Adams County,No,1962,1782,180,9.1,No
2008,January,Adams County,Yes,1983,1843,140,7,No
2009,January,Adams County,No,2081,1757,324,15.5,No
2009,January,Adams County,Yes,2088,1820,267,12.8,No
2010,January,Adams County,No,2024,1627,397,19.6,No
2010,January,Adams County,Yes,2034,1696,338,16.6,No
2010,January,Adams County,Yes,2019,1686,332,16.4,No
2011,January,Adams County,No,1789,1425,364,20.3,No
2011,January,Adams County,Yes,1768,1483,285,16.1,No
2012,January,United States,No,153485000,139944000,13541000,8.8,No
2012,January,United States,Yes,154395000,141637000,12758000,8.3,No
2012,January,Idaho,No,768068,698697,69371,9,No
2012,January,Idaho,Yes,775486,712587,62899,8.1,No
2012,January,Ada County,No,199158,183479,15679,7.8,No
2012,January,Ada County,Yes,199906,184583,15323,7.6,No
2012,January,Adams County,No,1915,1578,337,17.5,No
2012,January,Adams County,Yes,1939,1642,297,15.3,No
2005,January,Bannock County,No,40078,38182,1896,4.7,No
2005,January,Bannock County,Yes,40039,38455,1584,3.9,No
