year,period,area,adjusted,laborforce,employment,unemployment,unemploymentrate,preliminary,fips,longitude,latitude
2011,February,Ada County,Yes,194834,176217,18617,9.5,No,16001,-116.24203,43.47877
2011,January,Ada County,Yes,194692,176463,18228,9.3,No,16001,-116.24203,43.47877
2011,March,Ada County,Yes,196069,177729,18339,9.3,No,16001,-116.24203,43.47877
2010,December,Ada County,Yes,194376,176409,17966,9.2,No,16001,-116.24203,43.47877
2010,February,Ada County,Yes,195493,177845,17648,9,No,16001,-116.24203,43.47877
2010,March,Ada County,Yes,195951,178297,17653,9,No,16001,-116.24203,43.47877
2011,April,Ada County,Yes,196517,178734,17783,9,No,16001,-116.24203,43.47877
2010,November,Ada County,Yes,194711,177137,17574,9,No,16001,-116.24203,43.47877
2010,April,Ada County,Yes,195424,177993,17431,8.9,No,16001,-116.24203,43.47877
2011,May,Ada County,Yes,196645,179324,17321,8.8,No,16001,-116.24203,43.47877
2010,July,Ada County,Yes,194477,177351,17125,8.8,No,16001,-116.24203,43.47877
2010,August,Ada County,Yes,194442,177234,17207,8.8,No,16001,-116.24203,43.47877
2010,October,Ada County,Yes,194275,177116,17158,8.8,No,16001,-116.24203,43.47877
2009,December,Ada County,Yes,194673,177482,17190,8.8,No,16001,-116.24203,43.47877
2010,May,Ada County,Yes,195218,178080,17138,8.7,No,16001,-116.24203,43.47877
2010,June,Ada County,Yes,194610,177606,17003,8.7,No,16001,-116.24203,43.47877
2010,September,Ada County,Yes,194374,177582,16792,8.6,No,16001,-116.24203,43.47877
2010,January,Ada County,Yes,194701,177958,16742,8.5,No,16001,-116.24203,43.47877
2009,November,Ada County,Yes,194710,177978,16732,8.5,No,16001,-116.24203,43.47877
2011,June,Ada County,Yes,196323,179774,16549,8.4,No,16001,-116.24203,43.47877
2009,October,Ada County,Yes,194216,177993,16223,8.3,No,16001,-116.24203,43.47877
2009,August,Ada County,Yes,193312,177433,15879,8.2,No,16001,-116.24203,43.47877
2009,September,Ada County,Yes,193481,177449,16032,8.2,No,16001,-116.24203,43.47877
2011,July,Ada County,Yes,196110,180345,15764,8,No,16001,-116.24203,43.47877
2009,July,Ada County,Yes,193222,177815,15406,7.9,No,16001,-116.24203,43.47877
2011,August,Ada County,Yes,195979,180353,15626,7.9,No,16001,-116.24203,43.47877
2011,September,Ada County,Yes,195267,180105,15161,7.7,No,16001,-116.24203,43.47877
2009,June,Ada County,Yes,194476,179682,14794,7.6,No,16001,-116.24203,43.47877
2011,October,Ada County,Yes,196423,181389,15034,7.6,No,16001,-116.24203,43.47877
2009,May,Ada County,Yes,194657,179962,14695,7.5,No,16001,-116.24203,43.47877
2009,April,Ada County,Yes,194893,180430,14462,7.4,No,16001,-116.24203,43.47877
2009,March,Ada County,Yes,195326,181483,13842,7,No,16001,-116.24203,43.47877
2009,February,Ada County,Yes,195911,182493,13417,6.8,No,16001,-116.24203,43.47877
2009,January,Ada County,Yes,196768,184067,12701,6.4,No,16001,-116.24203,43.47877
2008,December,Ada County,Yes,195781,183410,12370,6.3,No,16001,-116.24203,43.47877
2008,November,Ada County,Yes,196119,184781,11337,5.7,No,16001,-116.24203,43.47877
2008,October,Ada County,Yes,197027,186376,10651,5.4,No,16001,-116.24203,43.47877
2008,September,Ada County,Yes,197544,187433,10111,5.1,No,16001,-116.24203,43.47877
2003,March,Ada County,Yes,177342,168626,8715,4.9,No,16001,-116.24203,43.47877
2008,August,Ada County,Yes,197990,188407,9582,4.8,No,16001,-116.24203,43.47877
2002,December,Ada County,Yes,175155,166725,8429,4.8,No,16001,-116.24203,43.47877
2003,April,Ada County,Yes,176915,168428,8486,4.7,No,16001,-116.24203,43.47877
2003,May,Ada County,Yes,176452,168092,8359,4.7,No,16001,-116.24203,43.47877
2003,June,Ada County,Yes,175731,167588,8143,4.6,No,16001,-116.24203,43.47877
2003,July,Ada County,Yes,175033,166911,8122,4.6,No,16001,-116.24203,43.47877
2002,September,Ada County,Yes,174953,166858,8094,4.6,No,16001,-116.24203,43.47877
2002,October,Ada County,Yes,174710,166506,8204,4.6,No,16001,-116.24203,43.47877
2002,November,Ada County,Yes,174514,166355,8159,4.6,No,16001,-116.24203,43.47877
2003,February,Ada County,Yes,176813,168725,8088,4.5,No,16001,-116.24203,43.47877
2002,February,Ada County,Yes,175845,167811,8033,4.5,No,16001,-116.24203,43.47877
2002,March,Ada County,Yes,175792,167855,7937,4.5,No,16001,-116.24203,43.47877
2002,April,Ada County,Yes,175033,167149,7884,4.5,No,16001,-116.24203,43.47877
2002,May,Ada County,Yes,175005,167105,7899,4.5,No,16001,-116.24203,43.47877
2008,July,Ada County,Yes,197891,188828,9062,4.5,No,16001,-116.24203,43.47877
2003,August,Ada County,Yes,174798,166796,8002,4.5,No,16001,-116.24203,43.47877
2002,January,Ada County,Yes,175162,167420,7741,4.4,No,16001,-116.24203,43.47877
2003,January,Ada County,Yes,176211,168286,7924,4.4,No,16001,-116.24203,43.47877
2002,June,Ada County,Yes,174745,166945,7800,4.4,No,16001,-116.24203,43.47877
2002,July,Ada County,Yes,174524,166710,7814,4.4,No,16001,-116.24203,43.47877
2002,August,Ada County,Yes,174728,166891,7836,4.4,No,16001,-116.24203,43.47877
2008,June,Ada County,Yes,197787,189244,8542,4.3,No,16001,-116.24203,43.47877
2003,September,Ada County,Yes,175841,168104,7737,4.3,No,16001,-116.24203,43.47877
2001,December,Ada County,Yes,175689,168090,7598,4.3,No,16001,-116.24203,43.47877
2003,October,Ada County,Yes,176163,168750,7413,4.2,No,16001,-116.24203,43.47877
2001,November,Ada County,Yes,175726,168194,7532,4.2,No,16001,-116.24203,43.47877
2001,October,Ada County,Yes,175801,168577,7224,4.1,No,16001,-116.24203,43.47877
2003,November,Ada County,Yes,176824,169510,7313,4.1,No,16001,-116.24203,43.47877
2004,January,Ada County,Yes,175957,168808,7148,4,No,16001,-116.24203,43.47877
2001,September,Ada County,Yes,175348,168266,7081,4,No,16001,-116.24203,43.47877
2003,December,Ada County,Yes,177315,170091,7223,4,No,16001,-116.24203,43.47877
2004,February,Ada County,Yes,175744,168855,6888,3.9,No,16001,-116.24203,43.47877
2004,May,Ada County,Yes,176959,169946,7013,3.9,No,16001,-116.24203,43.47877
2008,May,Ada County,Yes,197974,190151,7823,3.9,No,16001,-116.24203,43.47877
2004,April,Ada County,Yes,176456,169623,6833,3.8,No,16001,-116.24203,43.47877
2004,June,Ada County,Yes,176609,169799,6810,3.8,No,16001,-116.24203,43.47877
2004,July,Ada County,Yes,176874,170118,6755,3.8,No,16001,-116.24203,43.47877
2004,March,Ada County,Yes,175808,169142,6666,3.7,No,16001,-116.24203,43.47877
2004,August,Ada County,Yes,177428,170746,6682,3.7,No,16001,-116.24203,43.47877
2001,August,Ada County,Yes,174882,168253,6628,3.7,No,16001,-116.24203,43.47877
2008,April,Ada County,Yes,198390,191114,7275,3.6,No,16001,-116.24203,43.47877
2001,June,Ada County,Yes,174989,168617,6371,3.6,No,16001,-116.24203,43.47877
2001,July,Ada County,Yes,174517,168067,6450,3.6,No,16001,-116.24203,43.47877
2004,September,Ada County,Yes,177354,170878,6476,3.6,No,16001,-116.24203,43.47877
2004,October,Ada County,Yes,178763,172296,6467,3.6,No,16001,-116.24203,43.47877
2000,January,Ada County,Yes,167870,161872,5998,3.5,No,16001,-116.24203,43.47877
2008,March,Ada County,Yes,196981,190036,6945,3.5,No,16001,-116.24203,43.47877
2000,April,Ada County,Yes,169272,163221,6051,3.5,No,16001,-116.24203,43.47877
2004,November,Ada County,Yes,179748,173453,6295,3.5,No,16001,-116.24203,43.47877
2005,February,Ada County,Yes,182278,176062,6216,3.4,No,16001,-116.24203,43.47877
2000,February,Ada County,Yes,168224,162461,5762,3.4,No,16001,-116.24203,43.47877
2000,March,Ada County,Yes,168865,162998,5867,3.4,No,16001,-116.24203,43.47877
2001,April,Ada County,Yes,175471,169406,6064,3.4,No,16001,-116.24203,43.47877
2000,May,Ada County,Yes,169904,164120,5784,3.4,No,16001,-116.24203,43.47877
2001,May,Ada County,Yes,175041,168946,6094,3.4,No,16001,-116.24203,43.47877
2000,June,Ada County,Yes,169739,163886,5853,3.4,No,16001,-116.24203,43.47877
2004,December,Ada County,Yes,180932,174653,6278,3.4,No,16001,-116.24203,43.47877
2005,January,Ada County,Yes,181182,175027,6155,3.3,No,16001,-116.24203,43.47877
2008,February,Ada County,Yes,196792,190121,6670,3.3,No,16001,-116.24203,43.47877
2005,March,Ada County,Yes,182875,176824,6051,3.3,No,16001,-116.24203,43.47877
1998,July,Ada County,Yes,163603,158193,5410,3.3,No,16001,-116.24203,43.47877
2000,July,Ada County,Yes,170576,164924,5651,3.3,No,16001,-116.24203,43.47877
1998,August,Ada County,Yes,163321,157815,5506,3.3,No,16001,-116.24203,43.47877
2008,January,Ada County,Yes,197203,190846,6356,3.2,No,16001,-116.24203,43.47877
1997,February,Ada County,Yes,153632,148681,4951,3.2,No,16001,-116.24203,43.47877
2001,March,Ada County,Yes,175299,169648,5651,3.2,No,16001,-116.24203,43.47877
2005,April,Ada County,Yes,183252,177377,5875,3.2,No,16001,-116.24203,43.47877
1998,May,Ada County,Yes,162136,156848,5288,3.2,No,16001,-116.24203,43.47877
1998,June,Ada County,Yes,163074,157808,5265,3.2,No,16001,-116.24203,43.47877
2000,August,Ada County,Yes,170535,164936,5599,3.2,No,16001,-116.24203,43.47877
1998,September,Ada County,Yes,164186,158915,5270,3.2,No,16001,-116.24203,43.47877
1999,September,Ada County,Yes,167150,161736,5413,3.2,No,16001,-116.24203,43.47877
2000,October,Ada County,Yes,171951,166338,5612,3.2,No,16001,-116.24203,43.47877
1999,October,Ada County,Yes,167388,162009,5379,3.2,No,16001,-116.24203,43.47877
2000,November,Ada County,Yes,172638,167098,5539,3.2,No,16001,-116.24203,43.47877
2000,December,Ada County,Yes,172864,167316,5548,3.2,No,16001,-116.24203,43.47877
1997,January,Ada County,Yes,152777,148012,4765,3.1,No,16001,-116.24203,43.47877
2001,January,Ada County,Yes,173713,168240,5472,3.1,No,16001,-116.24203,43.47877
1997,March,Ada County,Yes,154111,149310,4801,3.1,No,16001,-116.24203,43.47877
1998,April,Ada County,Yes,161602,156491,5110,3.1,No,16001,-116.24203,43.47877
2005,May,Ada County,Yes,183908,178113,5795,3.1,No,16001,-116.24203,43.47877
1999,July,Ada County,Yes,167135,161891,5243,3.1,No,16001,-116.24203,43.47877
2000,September,Ada County,Yes,171344,165874,5469,3.1,No,16001,-116.24203,43.47877
1998,October,Ada County,Yes,164605,159467,5137,3.1,No,16001,-116.24203,43.47877
1998,November,Ada County,Yes,165052,159862,5189,3.1,No,16001,-116.24203,43.47877
1999,November,Ada County,Yes,168207,162852,5355,3.1,No,16001,-116.24203,43.47877
2007,December,Ada County,Yes,196930,190781,6149,3.1,No,16001,-116.24203,43.47877
1998,December,Ada County,Yes,165389,160184,5204,3.1,No,16001,-116.24203,43.47877
